attr1,attr2,attr3,attr4,attr5,attr6,attr7,atr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18
40.5,29.2,33.5,15.2,11.3,20,16.1,121.4,91.9,36.5,29.1,34.6,38.8,25.1,18.9,43,1,89.1
39.2,23.5,29.9,15.4,11.5,19,14.8,116.3,71.8,34.2,29.2,34.1,33.4,23.1,18.3,30,1,62.3
43,27.8,34.2,14.3,11.1,21,14.8,123.1,86.3,36.4,30.4,39.3,42,27.7,18.4,35,1,83.2
41.5,28.5,33.5,14.5,10.5,19.4,15.3,114.9,83.2,34,28.2,36.3,39.6,25.2,17,37,1,83.2
37.6,25,31.3,11.2,9.2,17,12.3,95,66.5,24.3,20.5,32,32.2,21,13.5,22,0,51.6
36.7,26.4,31,12.1,9.9,19.3,12.8,99.5,61.5,27.8,24,38.5,38.5,22.5,15,20,0,59
34.8,25.9,30.2,11.3,8.9,17,12.2,88,61.2,24,22,32.5,32.5,19,14,19,0,49.2
36.6,27.9,31.8,12.3,9.5,18.6,13,97,78,28,24,35.2,36.7,23,15,25,0,63
35.5,28.2,31,11.5,9.1,17.2,12.4,103.3,70.5,26.9,22.7,33,33.3,19.9,14.5,21,0,53.6
37,28,32,12.5,10,17.2,13.2,93.5,66.5,26.5,22.5,34,35,23,14.5,23,0,59
35.5,26.5,29.2,12.3,9.4,17.2,12,93.3,58,24.1,22,32.5,32,19,13.9,26,0,47.6
37.4,30.2,33.2,13.3,10.7,19.8,13.8,94.5,74.5,29.2,26.2,38.5,38,22,16.8,22,0,69.8
37.8,29,32.6,12.1,9.8,17.8,12.7,98.6,73.5,29,23.4,35.3,37.4,21.6,15.2,28,0,66.8
38.6,28.8,33.2,13.4,11.5,20.9,13.2,115.5,90.5,33.6,26.6,37.2,35.8,22.6,16.3,40,0,75.2
37.6,28.5,32.2,11.8,8.6,17.1,11.9,97.9,66.5,24.8,21,32.2,32.5,19.9,13.8,32,0,55.2
36,25.6,31.5,12.8,9.7,17.6,13.2,97.7,61,25.4,22.6,34,34.5,20.5,15.3,25,0,54.2
39.5,30,31.7,12.8,9.2,18.1,12.4,100.5,69.5,25.9,22.9,36.1,35.3,20.9,14.4,25,0,62.5
34,25,27,10.6,8.3,15.9,11.6,88.7,62,24,20.5,30.8,30.4,17.9,13.2,29,0,42
35,26.5,31.6,11.5,8.6,16.8,12.2,96.6,63.4,25.6,21.6,34.4,32.8,19.1,13.8,22,0,50
35.6,25.8,32,11.5,9,17.2,11.8,92,71,26,21.8,33.5,35,21,14,25,0,49.8
36.2,27.4,29.5,11.2,9.6,16.7,12.6,90,59,23.5,21,32.5,29.6,18.5,14.5,23,0,49.2
39,28.4,34.9,13.4,11,18.9,13.6,104,74,31,26.5,38.6,38.6,23.8,17,37,0,73.2
32.6,25.6,30,10.3,8.1,16.2,11.6,90.1,60.5,24.6,20.6,29,33,19,13.2,19,0,47.8
37.6,30,33.9,13.4,10.5,19.2,13.2,104,75,28.7,24.9,37,36.5,20.6,15.9,23,0,68.8
36.3,27.5,31,11.1,9.4,16.4,12.3,91,65,27,23,32,31.5,22,13.8,25,0,50.6
38,29.6,32.7,13.7,10.6,21.5,14.4,111.4,82.2,32.5,26.8,40.5,38.6,23,16.6,26,0,82.5
37,27.9,30.8,13.2,8.9,18.1,12.3,96.2,70.2,25.9,23.2,34.3,30.9,19.4,14.5,24,0,57.2
42.6,31.8,34.8,12.5,11,21,14.2,117.1,85,34.4,28.3,40.1,40,24.2,17.6,29,0,87.8
37.5,29.2,35.1,13.1,10.2,20,13.1,101.5,75,31.5,26.5,38.2,40,23,16,22,0,72.8
36.1,28.2,32.3,12,10.2,18.4,12.9,95.1,63,24.6,22.3,35.2,33.7,20.9,15.2,30,0,54.5
39.1,27.5,34,12.6,10,18,12.7,97.1,70,26.3,22.6,37.2,36,21,15,23,0,59.8
39.6,28.6,31.2,12.4,10.1,19.3,13.8,101.4,72.6,27.4,23.4,37,38.4,21.3,15.6,38,0,67.3
40.5,29.6,34.9,12.6,10.4,18.8,13.1,103.7,78.7,29.5,25.3,35.4,36.7,21.3,15.6,23,0,67.8
35,26,29.8,12.4,9.5,17.2,12.3,89.2,61,24.5,22.5,32.5,33,20.5,14.5,19,0,47
34.5,26.4,30.1,11.3,8.9,17.2,12.3,86,64.2,23.2,21.2,33,31.5,20.5,14,46,0,46.2
35.6,27.9,32,11.9,9.6,18.2,12.7,98.1,63.1,26.4,23.1,35,35,20.1,14.9,20,0,55
39.1,29.7,33.7,13.2,10,20.3,13.6,114,85,31.6,26.6,39.6,38.9,23.3,15.9,22,0,83
36.6,28.2,32,11.8,9.9,18,12.7,95,66,25,22.2,33,34.8,20.5,14.4,25,0,54.4
34.8,26.3,29.9,11.3,9.2,16.5,11.8,87,65,24.5,20.5,31.5,31,20,14,21,0,45.8
36.7,22.1,28.3,12.3,10.1,16.8,12.4,100.8,63.2,27,23.6,33.6,33.4,20,15.6,23,0,53.6
39.7,31.6,34.5,12.7,10.4,18.2,13.1,112.2,83.6,31,25.4,37.2,35.2,22.3,16.1,31,0,73.2
35.5,24.3,29.5,11.5,9.4,17.2,12.1,98.7,68,26.2,23.2,33.2,35.3,21.2,14.6,29,0,52.1
36,28,30.8,12.9,9.8,17.8,13.8,100.1,75.7,31,24.9,35.5,38,21.5,15.3,19,0,67.9
35.8,26.4,32.2,12.7,10.4,18.9,14,100.3,65.5,27.8,23.9,35.6,33.4,21.9,15.2,21,0,56.6
37.6,27.3,32,12.4,9.4,18.8,13.6,100.5,66.9,28.5,23.7,35.9,34.6,20,15.1,23,0,62.3
37.6,28.7,30.8,13.1,11.5,18.6,13.6,101.2,67.9,29.6,24.5,37.1,36.3,20.6,15.2,24,0,58.5
34.9,28,30.8,11.2,9.2,17.9,13.2,96,67.8,26.3,23,32.3,30,18.8,14.3,20,0,54.5
33.3,24.9,27.8,12.8,9.8,17.4,12.9,92.8,63.2,26.5,23.5,32.3,31.6,18.9,15,19,0,50.2
36.2,27.1,29.9,11.8,9.2,17.3,12.6,95.5,73.1,27,24.3,34.9,35.7,22,15.1,20,0,60.3
33.3,29.2,32,12.6,10.4,18.4,13,98.7,65.3,27.7,24.5,33.1,35.4,21.2,15.7,19,0,58.3
36,25.2,30.8,12.6,9.2,17.6,13.2,96.9,65.6,27.7,24.2,35.1,35.6,21,14.7,20,0,56.2
34,27.3,29.9,12,9.2,16.8,12.4,91,62.7,25.3,22.7,32.6,32.9,19.8,13.8,19,0,50.2
36.2,28.7,31.3,12.8,10.5,18,14.4,106.3,81.8,28.3,25.2,35,36.3,21.4,15.3,22,0,72.9
34.9,27.1,31.5,12.4,9.8,18,13.8,99.8,72.1,29,24.8,34.3,37.1,21.9,14.3,39,0,59.8
37.4,28.3,31.3,12.9,11,18.4,14.3,105,68.6,28.5,24.1,35.6,34,20.7,15.5,18,0,61
33.8,28.7,32.2,12,8.9,17.4,13,106.2,80,30,23.1,36.3,36,21,14.6,19,0,69.1
34,27.3,32.2,12.9,10.6,17.9,13.4,97.7,64.9,28,24.2,34,35.4,20.7,15.5,26,0,55.9
34.4,23.5,26.8,11.7,9.2,16.8,12.4,97.4,61.7,23.7,21.6,30.5,33.8,20.7,14.6,20,0,46.5
34.7,27.8,32.6,12.6,9.8,17.6,12.6,96.3,64,25.8,23.9,33.7,34,20.3,14.6,20,0,54.3
35.6,26.4,32.2,13,10,17.6,13.8,98,58.6,27.1,23.1,33.2,35.8,20.7,14.4,26,0,54.8
33.8,29.7,32.4,13.4,9.6,18.4,13.4,94.5,68.3,26,22.6,35.9,32.5,19.7,14.6,21,0,60.7
37.8,26.6,33.1,12.4,9.8,18.3,13,101.4,69.5,24.9,22.8,34.9,37.1,20.1,14.9,21,0,60
38.3,30.4,32.2,12.4,9.4,18.1,12.7,95.1,70.5,28,23,33.5,33.5,20,14.6,38,0,62
40.3,29.2,32.9,13,9.4,18.6,12.9,101.1,69.8,25.4,23.4,35.9,34.2,21.5,15.1,23,0,60.3
38.9,27.5,31.1,12.4,10,18.4,13.6,97.4,69,26.6,22.7,31.6,33.3,19.6,15.3,37,0,52.7
39.4,29.2,34.7,13.4,10.5,19.8,13.1,104.8,81,31.3,26.8,38.1,37.7,21.7,15.9,19,0,74.3
35,27,33,11.5,9.9,17.1,13,94.5,71,28,23,34,34.2,20.6,15,25,0,62
40.7,29,35.3,13.8,10.8,19.8,14.3,103.2,73.6,29.5,26.6,38.8,39.7,24.3,15.9,20,0,73.1
39.6,30.4,34.2,14.2,10.6,20.7,13.1,110.8,96.3,34.3,26.5,38.3,41.1,22.9,16.4,41,0,80
36.9,28.3,32,10.9,9.4,17.3,12.6,94.6,65,27.7,23.2,33,31.5,18.9,14.1,26,0,54.7
35.6,25.7,29.1,11.5,9.5,17.8,12.1,96.6,62.8,24.6,21.4,34,34.8,20.9,14.3,21,0,53.2
38.2,30,35.5,12.6,10.8,19.5,13.6,102.8,83,29.8,24.6,38.1,37.8,20.7,16.6,47,0,75.7
36.9,29,33.7,11.5,10.2,18.4,13.8,96.9,67.6,26.4,23.3,38.5,35,22.1,15.6,19,0,61.1
36.9,26.9,31.9,13.4,10,18.8,14.3,95.6,65.4,26.4,23.8,34,33.7,19.1,14.7,44,0,55.7
34.8,26.4,29.8,12.2,9.1,18,12.4,92.4,61.6,26.3,23.1,33.3,32.4,19,14.2,35,0,48.7
36.6,27.5,30,12,9.3,17.7,13.2,93.7,63.2,24.2,22.4,32.5,31.3,18.4,14.7,32,0,52.3
36.9,27.4,31,12.8,10.4,17.8,14.1,96.1,59.4,26.9,23,32.8,32.1,19.7,15,46,0,50
36.9,26.4,32.4,12.6,10.5,18.9,14.4,100.1,62.7,28,23.6,35.4,38.5,21.3,15.4,22,0,59.3
36.9,30.2,34.6,13.2,10.4,19.4,14.3,98.8,66.6,30.4,25.2,35.7,38.2,21.8,15.9,49,0,62.5
36,28.6,32,12.8,9.8,18.7,13.8,92.2,64.6,24.7,21.7,37.4,35.5,21,15,52,0,55.7
36.2,30.2,31.2,11.5,9.4,17.4,13.1,97.3,65.7,29.4,23.1,33.2,34.4,20.3,14.4,25,0,54.8
35.1,28.1,30,12,9.6,19,14.2,90.5,63,26.4,22.5,32.2,30.3,20.2,15,48,0,45.9
38.8,27.2,33.4,12.9,11,18.2,13.4,110.5,78.5,30.2,25.9,37,35.2,23.2,16.2,41,0,70.6
36.4,26.2,32.2,13.1,10.1,17.9,12.6,103,68.2,29.8,25,36.8,38.1,21.8,16.2,18,0,67.2
38.6,24.2,34.4,13.1,10.4,22.1,14.4,109,68.5,30.1,26.2,40.9,40.4,23.3,16.4,30,0,69.4
36.5,26,30.7,12.1,10.3,17,12.4,104.8,68.8,27,23.4,34.4,35.2,21.6,14.6,20,0,58.2
37.5,27.4,31.2,14,11,19.1,13.5,109.2,69,28.6,25.2,37,35,22.2,16.2,24,0,64.8
39.9,20,32.4,13.6,10.4,18.5,13.4,117,78,31.1,26.6,35.2,36.7,21.8,16.2,23,0,71.6
34.4,26.1,30.5,12,9.9,17.5,12.7,93.9,62,24.3,22.3,34.2,34.8,20.2,14.4,30,0,52.8
38.7,23.5,33,12.6,9.9,17.5,12.6,105.5,65.8,27,23.2,36.8,36.2,22.1,15.8,23,0,59.8
32.6,24.6,29.4,11.3,9.2,16.9,11.9,99.4,65,26,21.4,34,33.9,21.4,14.4,45,0,49
34.5,25.6,29.2,10.1,9,16.3,11.5,89.5,64.9,25.6,22.4,30.9,32.6,19.1,14,20,0,50
36.7,28.2,33,12.2,10.1,17.8,13.5,98.5,71.5,28,24.2,36.6,36.4,21.8,15.6,20,0,69.2
36.5,27,31.6,11.9,9.7,18,12.5,94.9,61.4,27.1,22.8,35.4,34.8,21,15,23,0,55.9
34.2,28,31,12.4,9.7,18.5,13,96.3,75.4,28.4,22.6,37.6,34.3,21.7,14.8,21,0,63.4
37.8,28.6,30.7,11.8,10.6,18.8,13.3,96.8,67.2,27,22.2,36,35.4,22.2,15.6,28,0,58.2
35.7,25.5,32.5,11.9,10,18.6,13.6,102.5,69.5,28.5,24.4,35.2,35.4,21.8,15.4,45,0,58.6
33.9,24.3,29.5,11.6,9.4,16.3,11.2,95.2,57.9,26.6,22.2,33.6,33,19.6,14,24,0,45.7
35.2,24.1,26.9,12,9.5,17.5,11.5,103,64.4,26.6,23.3,32.7,33,19.4,14.2,25,0,52.2
37.1,24.3,28.4,12.1,9.8,16.8,12.2,99.1,62.3,24.4,22.1,32.4,32.5,21,14.8,19,0,48.6
37.7,26.2,30.8,12.4,10.2,17.2,11.8,104.1,68.7,28.2,23.8,34.6,34.3,21.5,15,20,0,57.8
37.8,28.1,30,11.1,9.6,18,13.2,99.5,68,27.4,23,34.5,35.3,21.6,15.6,29,0,55.6
39.3,24.5,32.3,13.4,10.9,18.2,13,110.2,66,27,24.2,37.2,39,23.2,16.2,24,0,66.8
37.2,24.4,29.4,12.3,9.9,17.1,12.2,107.1,71.2,28.2,25.2,34.2,34,20.4,15.4,24,0,59.4
36.1,26.8,31,11,8.9,17.8,12.2,95.7,64.8,26.5,22.6,31,35.2,20.4,14.4,25,0,53.6
35.2,25.1,33,11.6,9.1,21,12.6,103.4,78,33.8,24.6,38.2,39.8,22,14.4,31,0,73.2
35.8,27.7,28.9,11.5,9.1,17.1,12.3,94.6,60.7,25.2,22.4,34.2,32.2,19,14.6,22,0,53.4
35,25.6,32.5,12.6,9.8,18.6,12.9,104.5,75,29.6,23.9,37.6,36.6,22,15.1,20,0,69
37.8,29.9,31.1,10.9,9.4,15.7,11.5,97.7,68.6,26.2,22.1,32.2,35.9,19.9,14.6,32,0,58.4
35.7,27,29.8,12.1,9.6,18,13.6,96.4,67.1,27.3,23.6,35.9,36.6,23.8,15.3,25,0,56.2
39.5,29.8,31.5,13,10.6,19.1,13.4,103,68,26.5,24.2,40.5,39.4,23.2,15.8,19,0,70.6
38.8,26.3,31.5,11.6,9.9,18.8,13.1,103.4,71,28.2,23.6,35.6,35.8,20.8,15.5,23,0,59.8
37.9,29,32.9,12.7,10.6,18.2,12.1,109.5,76,29.5,25.2,39.2,37,21.8,15.8,22,0,72
37.7,25,30.4,12.4,10.2,18.6,12.7,110.7,70.3,30.8,25.4,37,37,23,16,20,0,65.2
38.2,25.9,30.2,11.7,9.4,16.9,11.7,102.2,69.5,27.4,23.8,35.4,34,21.3,15.2,27,0,56.6
40,31,35.8,14.1,12.2,24.3,12.9,129.5,101.5,40.3,30.8,45.6,45,25.8,18.2,34,0,105.2
35.7,28.3,29.6,10.7,8.7,16.8,11.3,99.2,67.2,27.1,23.2,34.6,34.2,20.3,14.2,25,0,51.8
35.7,25.9,29.3,13.2,10.9,18.1,13.1,104.7,68.7,30,24.4,35.9,37.4,22,16,26,0,63.4
36,27.6,29,11.8,9.2,18,11.4,98.9,66,26.4,22.6,35.4,35.6,21,14.5,19,0,59
35,25,27.2,10.8,8.7,16.8,12.2,98.5,67.5,24.8,21.5,33,33,20,14,26,0,47.6
37,26.9,32.4,12.9,10,18.1,13.1,102.2,65.2,27.2,25.3,37.5,38.4,23.2,15.8,25,0,63
36.7,23.5,29.5,11.5,9.5,16.1,9.9,100.2,64.2,29,23.8,33.9,33.2,20.5,15,20,0,55.2
32.8,26.2,26.3,10.6,9.2,16.4,11.7,85.9,61,22.4,19.6,30.4,28.4,17.4,13.2,21,0,45
34.8,20.3,31,11.6,9.8,17.9,12.4,99.8,60.2,26,23.2,36,35.8,21.2,15.2,18,0,54
35,23.7,29,11.5,9.6,16.6,11.6,93.3,62.6,26.4,21.8,34.5,33,20.7,14.4,19,0,50.2
38.7,27.1,31.4,12.8,9.2,18.8,12.5,107.3,72.7,29.5,25.3,36.8,37.6,22.4,16.6,27,0,60.2
32.8,20.9,28.2,11.3,9.5,16,11.2,90,58.5,25,20.7,31.7,32,20.1,13.1,26,0,44.8
36.7,23,30.8,13.1,11,17,12.9,101.5,67.5,28.4,24.6,35.6,33.5,21.8,16,36,0,58.8
38.8,26.5,29.8,12,9.4,17.7,12.6,105.1,66.1,27.4,23.8,35,33,20.2,14.9,20,0,56.4
36.4,24.9,30.8,12.4,10.5,18.4,12.8,101,68,28,23.3,36.1,35.1,21.6,15.6,28,0,62
34,27.8,29.6,9.9,8.9,17,11.5,91.9,64,25.6,20.7,32.7,31.5,18.9,13.4,32,0,49.2
38.2,27.5,30,11.8,9.2,17.8,11.5,112.1,90.1,32.1,25.8,34.7,37.2,21.5,15.8,32,0,67.2
35.1,23.4,30.6,12.1,9.4,16.1,12.2,98.2,64.1,26.6,23.2,35.2,35,21,14.8,23,0,53.8
36,25.2,28.4,11.2,9.9,16.8,12.1,102.5,72.4,27.6,23.8,33.2,34.4,21.3,14.6,20,0,54.4
35.9,25.1,28.2,11.6,8.5,16.8,11,98.4,71,28.4,23.6,34.2,34,19.8,13.8,20,0,58
35,27.1,30.1,12.4,9.9,18.2,12.5,96.8,69.1,28.9,23.1,35,34.4,20,15,20,0,59.8
35.2,24.4,29.8,13,9.2,17.3,12.2,103.9,66.1,27.8,24,35.3,33.7,22,14.6,23,0,54.8
34.9,26.2,28.5,10.4,8.7,16,11.1,92.7,59.5,23.2,20.8,31.6,29.6,18.6,13.8,20,0,43.2
36,28.1,31,11.5,9.7,17.5,12.8,105,71.5,26.8,22,33.8,33.5,21.1,15.3,28,0,60.5
36.4,27.7,29.8,11.2,9,16.9,12.2,94,65,25,22.2,31.6,31.6,18.8,14.2,23,0,46.4
35.5,27.7,30.7,11.6,8.9,17.9,11.5,101.5,71.5,28.4,23.5,39.1,38.2,20.4,14.4,19,0,64.4
34.1,18.7,27.2,11.2,9.5,16.1,11.9,92,63,24.1,22,30,31.2,20.4,14.4,28,0,48.8
37.1,25,29.3,13,10.9,17.5,13,108.5,70,30.1,25.2,35.8,35,21.7,16,19,0,62.2
35.2,26,30.4,11.1,9,17.1,12,93.8,70.4,28.3,21.9,33.1,32.8,19,13.9,29,0,55.5
37.5,26,29.4,12.3,10.4,18.3,12.7,99.8,64.3,28.2,23.8,35.6,35.5,22,15.5,32,0,57.8
36.3,24.9,31,12.5,10,18.1,13,100.3,66,26.8,23.8,34.7,34.5,21.4,15.2,20,0,54.6
37.2,26,28.5,12.3,9.7,18.4,13,101.5,70.5,30.5,24.3,35.8,36.9,20.4,15.7,28,0,59.2
37.6,27.7,30.2,12,9.1,17.5,12.1,94.7,62,24.7,22.4,33.5,33,19.4,14.5,36,0,52.7
33.6,24.3,27.9,11,8.4,16.6,11.1,103.1,67.6,30.2,24.2,34.1,33.8,20.6,14.8,22,0,53.2
34.5,29.2,31.9,11,9.3,18.7,12.4,94.5,65,27.2,22.8,38.6,37.4,20.6,14.8,20,0,64.5
36,27.1,31.4,11.9,9.4,15.9,11.9,97.1,64,25.2,23,32.3,34.8,20.3,13.4,22,0,51.8
35.4,27,29,11.6,9.2,18.2,12.1,98,70.5,27.2,23.2,35.6,30.5,20.1,14.6,32,0,56
35.8,28.3,30.2,12,9.2,18.4,14.2,102.4,79.2,27.8,23.4,36,35.7,23.8,14.1,40,0,63.6
38.3,28.3,32.4,13.9,10.6,18.9,14,109.1,71.1,29.6,24.6,34.3,36.6,20.7,15.6,40,0,63.2
33.8,28.7,32.9,12.6,9.4,18.2,13.2,94.7,74.7,31,23.7,35.7,34,20.9,14.2,42,0,59.5
36.9,31.1,33.8,13,9.8,18.4,13.8,98.2,62.9,26.4,23.1,34.6,32.3,20.4,14.7,40,0,56.8
34.9,28,33.1,12.6,9.6,18.8,12.2,101.5,70.6,29.1,24.2,37.2,33.1,19.9,15,44,0,64.1
35.1,28.3,29.7,13,9.3,17.7,13.8,96.6,61.6,27.4,23.7,32.4,32.9,20.3,14.6,30,0,50
37.4,30.2,34.2,13.2,10,19.6,14.1,106.1,74.2,31.4,25,37.6,41.9,24.3,15.4,28,0,72.3
36.9,27.5,31.1,12.8,9.8,18,14,100.1,65.5,26.8,22.3,34.2,33.4,21.5,14.5,37,0,55
36,28,30.4,12.2,9.2,17.6,12.8,105.3,67.7,28.2,23.8,33,32.7,18.8,14.7,40,0,55.9
32.9,26.6,32.2,12,8.4,19.4,12,99.8,72.9,29.9,24.1,33.8,33.5,21,15.1,45,0,60.4
37.1,27.1,32.6,13.2,10.3,19,14.4,104.1,75.5,30.3,23.8,37.3,37,22.5,15.1,32,0,65.9
35.8,30.2,33.5,12.4,9.4,18.4,13,99.7,73.7,28.1,23.3,33.9,33.3,21.2,14.9,64,0,58.6
38.5,30.4,35.1,13.8,10.7,19,14.4,106.6,67.9,31,26.6,36.6,38.5,22.2,16,21,0,66.8
38.5,30.8,35.1,13.1,10.6,18.6,14.2,97.2,71.2,25.2,21.7,33.7,32.1,21,15,32,0,56.6
36,30.2,32.9,12.4,9.6,18.4,14.2,100.8,69.3,29.7,24.1,34.8,34.6,21.5,14.6,35,0,58.6
34,26.4,29.9,11.8,9.4,17.3,12.4,100.7,75.6,30,22.2,34.6,32.6,19.9,13.7,41,0,55.9
38.3,26.6,33.3,13.1,10.8,20,13.8,99.1,63.8,27.8,23.6,35.9,35.5,22.6,15.4,40,0,59.1
38.7,33.3,33.8,14,10.5,18.9,14.8,108.9,83.6,31.9,26,38.1,36.4,24.5,16,29,0,81.8
36.9,29,33.5,12.7,9.6,18.6,14.2,109.8,84.9,32,25.7,37.6,33.7,21.6,15.5,40,0,70.7
35.8,26.6,31.1,12.4,9.6,17.9,13.8,99.5,66,28,21.1,32.1,34.3,21,14.4,24,0,56.8
38.3,30.8,35.6,13.6,10.4,19,13.6,102.3,70,29.3,25,35.6,36.6,22.5,16.4,24,0,65.5
32.9,20.9,28.5,12.2,9.1,16,12.7,93.1,59.4,26.9,22.5,31.7,30.7,20.5,15.2,29,0,48.6
38,28.3,31.1,12.2,10.2,17.3,13,101.7,68.3,29.8,24.7,32.7,34.3,21.7,15.4,31,0,58.6
37.8,32,33.8,13.4,10.4,18.8,13.4,105,77.9,28.4,24.3,34.7,34.5,20.9,14.9,34,0,63.6
34.2,29.2,31.1,12.8,9.8,17.6,13.4,96.4,68.3,27.7,24.4,32.7,33,19.6,14.9,36,0,55.2
37.6,31.3,35.3,11.3,9.4,18.9,13.8,103.5,72,27.4,22.4,36.3,37.9,23.4,14.5,32,0,62.7
35.3,25.4,31.3,12.4,10,17.5,13.6,99.8,62.7,24.2,23.3,32.8,36.1,22,14.8,39,0,56.6
34.9,27.3,32.2,12.6,9,17.4,12.2,87,58,23.1,21,35.5,36.4,20.3,13,37,0,53.9
37.4,32,34.7,13,10,18.4,13.4,105.2,72.7,30.5,23.7,36.3,34.3,20.5,14.8,52,0,63.2
36.2,31.1,34.7,12.9,10.4,18.6,14,102.1,85.4,29.7,24.5,40.3,37,22.4,15.3,24,0,73.6
38.9,29,33.1,12.2,10.2,18.8,13.8,101.3,67.3,27.2,22.6,38.3,35.6,21,14.6,33,0,62
36,30.4,32.9,13.4,10.5,19.5,13.6,99.6,70.8,29.3,24.2,36.5,35.3,20.3,15.4,42,0,63.6
33.3,25.9,29.9,12,9.2,17.6,12.9,99.4,67.4,26.9,22.3,32.8,29.5,18.7,13.7,34,0,53.2
37.4,29.4,32.6,13.4,10.2,18.4,14.1,99.4,66,26.8,22.9,32.2,32.6,19.2,14.6,37,0,53.4
34.7,29.4,31.5,13.4,9.6,18.4,13.4,99,63.6,26.7,23.7,33.5,33.6,20.2,14.6,39,0,55
38.7,28,34.7,13.6,10.4,20.4,14.3,108.2,71.7,28.7,25.9,40.5,39.5,23.3,15.6,41,0,70.5
36.2,28.3,31.3,12.2,9.6,16.8,12.9,96.4,73.6,25,21,31.6,30.2,19.3,13.6,36,0,54.5
35.3,26.8,31.7,11.5,9.2,17.8,12.6,92,69.8,26.7,23.3,33.5,33.1,19.6,14.2,25,0,63.6
37.6,26.8,31.1,11.8,10.2,18.4,12.8,98.6,66.4,24.2,21.2,33,34.3,20.2,15,24,0,54.5
35.8,29,30.6,12.4,10.5,17.9,13.4,96.1,61.7,25.5,23.2,36.7,36.2,22,14.8,21,0,59.1
36,29.2,33.5,11.6,10.5,18.7,14.2,107.7,76.4,32.8,24.8,36.5,36.2,23.9,15.5,35,0,70.5
35.6,28.3,28,11.7,9.6,16.4,13,95.4,63.8,24.4,22,32,32.6,21,14,27,0,52.7
37.1,27.8,31.7,12.4,10.4,18.2,13.2,99.3,70.2,28.3,24.9,35.5,36.3,21.4,15.3,27,0,62.7
35.6,30.2,32.9,13,11,20.6,14.3,115.2,88.2,30.3,25.2,39.2,38.4,23.1,16.4,26,0,86.3
35.1,29.4,33.1,12.8,10.3,18.7,13.6,96.7,75.8,30.4,24.8,36.8,35.9,21.8,15.5,25,0,66.4
35.8,26.8,30.4,12.4,10.3,17.5,13,109,81.5,31.2,25.8,34.4,37.3,21.8,14.6,44,0,67.3
37.4,29.4,31.7,12.2,10.8,19.4,14.3,95.1,67.4,27,24.3,36.2,36.7,23.7,15.9,29,0,63
38.9,28.5,34,13.3,10.3,19.1,14.2,108.4,78.3,32.8,27,39.4,39.1,23,16.5,26,0,73.6
37.4,29,32.9,12.7,10,18.2,13.8,98.2,65.9,26.6,23.7,35.6,34,21.7,15.1,23,0,62.3
37.6,28.3,29.4,13.2,10,17.8,14.2,99.7,62.4,25.8,23,34.5,31,19.2,14.7,32,0,57.7
35.1,26.6,29.2,11.8,9.4,17,12.2,94.4,65.6,28.8,24.7,33,34.6,21.7,15.8,32,0,55.4
38,33.3,37.8,15,11.5,22.6,13.8,127.1,96.2,35.9,30.6,49,45.4,24.1,17.8,43,0,104.1
36.7,25.2,29.2,12,9,17,11.8,94.9,62.5,25.7,21.9,31.7,34.7,18.5,13.9,32,0,55.5
35.6,29.9,33.5,13.2,11,19.2,13.8,98.9,80.5,34.1,27.6,38.8,38.2,22.2,16.3,41,0,77.3
35.6,30.8,33.8,12.4,10.2,18.2,14,106.4,86.1,31.7,25.5,39.4,38.7,23.7,16.3,33,0,80.5
35.6,27.3,31.7,12.4,9.8,17.6,12.7,102.2,71.3,31.1,24.4,35.9,34.4,21.2,14.2,28,0,64.5
37.8,29,32.4,12.7,9.1,18.2,13.2,110.3,79.4,29.9,24.9,38.7,36.3,21.3,15.5,28,0,72.3
40.9,28.7,29.2,12.9,9.6,16.8,13.4,107.3,72.3,28.8,23.2,35,34.2,20.5,14.8,25,0,61.4
34,25.9,29.4,11.4,9.6,16.6,12.6,95,67.4,29.3,23.1,35.6,37.4,22.5,14.4,38,0,58.2
34.9,31.3,31.7,13,9.6,17.8,13.7,115.6,94.2,35.7,25.6,34.8,35.5,19.5,15,37,0,81.8
35.8,31.5,32.6,12.9,9.8,17.9,13.4,99.3,67,27,22.3,37,33,21.6,15,25,0,63.6
36.5,27.5,30.8,11.6,9.6,17,11.7,93.1,69.5,24.4,22.1,33.9,30.8,19.9,14.1,37,0,53.4
32.9,26.8,28.7,11,8.6,16.4,12.6,94.9,66.4,24.9,22.3,32.5,31.7,21.7,13.4,27,0,54.5
36.9,28.5,31.5,11.6,9.8,17.2,12.9,100,67.6,25.6,23,34.5,32.5,21.7,14.6,27,0,53.6
35.8,29.4,32,11.8,9.8,18,12.7,98.6,66.6,27.3,24,36,34.9,21.4,14.6,20,0,60
39.4,28.3,30.2,12.8,10.5,19.5,14.4,107.2,69.7,29.9,25,37.7,37.7,23.7,16.2,19,0,73.6
36.5,28.3,29.7,12,10,17.1,12.8,98.3,72,27.6,23.3,35.2,31.9,19.6,15.4,32,0,61.4
35.8,27.3,28.5,11.2,10.2,17.5,12.9,92.4,64.5,25.5,23,34.5,32.7,20.3,14.9,26,0,55.5
34.4,29.7,31.7,12.6,10.2,17.7,12.4,93,72.3,31,26.3,39.9,39.7,21.6,15.4,56,0,63.6
